N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
108,한샘,"117,000","1,000",-0.85%,"1,000","27,535","23,534",23.94,"48,222",42.31,10.83,
109,더존비즈온,"90,600","2,400",-2.58%,500,"27,434","30,280",43.46,"175,569",50.17,15.09,
110,한화생명,"3,145",75,+2.44%,"5,000","27,315","868,530",7.00,"4,849,008",11.61,1.90,
111,삼성엔지니어링,"13,900",50,-0.36%,"5,000","27,244","196,000",25.20,"1,336,579",11.13,16.75,
112,CJ,"93,000",500,+0.54%,"5,000","27,135","29,177",18.94,"60,792",38.27,1.89,
113,대우건설,"6,490",60,+0.93%,"5,000","26,974","415,623",8.67,"6,448,465",9.50,11.06,
114,현대미포조선,"67,000",400,-0.59%,"5,000","26,761","39,942",12.77,"285,258",-137.30,-0.84,
115,현대차우,"106,500","1,500",-1.39%,"5,000","25,940","24,357",56.98,"41,001",20.71,N/A,
116,휠라홀딩스,"42,650",700,+1.67%,"1,000","25,911","60,752",44.79,"283,435",18.66,10.94,
117,하이트진로,"36,650",400,+1.10%,"5,000","25,704","70,134",7.33,"349,011",30.14,8.23,
118,DB하이텍,"56,800","1,000",-1.73%,"5,000","25,218","44,399",18.02,"624,007",15.23,23.07,
119,현대오토에버,"119,500","4,500",-3.63%,500,"25,095","21,000",1.98,"77,405",42.54,11.09,
120,포스코인터내셔널,"19,950",200,+1.01%,"5,000","24,613","123,375",10.12,"647,310",10.32,7.69,
121,제일기획,"21,150",200,+0.95%,200,"24,331","115,041",32.64,"234,451",15.46,16.11,
122,효성티앤씨,"556,000","5,000",+0.91%,"5,000","24,062","4,328",18.93,"40,624",17.59,25.10,
123,TIGER 200,"43,050",75,+0.17%,0,"23,979","55,700",0.00,"597,281",N/A,N/A,
124,DL이앤씨,"122,000","1,500",+1.24%,"5,000","23,618","19,359",20.44,"287,591",N/A,N/A,
125,한화시스템,"21,350",200,-0.93%,"5,000","23,534","110,230",3.59,"1,054,841",25.15,9.35,
126,한화,"30,500",400,-1.29%,"5,000","22,862","74,959",19.63,"271,002",13.97,4.79,
127,메리츠화재,"18,900",100,-0.53%,500,"22,798","120,625",10.96,"150,627",5.03,16.91,
128,두산인프라코어,"10,450",400,-3.69%,"5,000","22,683","217,063",8.52,"4,052,780",14.78,6.47,
129,KCC,"250,000","17,500",+7.53%,"5,000","22,216","8,886",12.34,"149,864",3.73,12.79,
130,현대로템,"20,100",50,+0.25%,"5,000","21,938","109,142",5.44,"1,213,385",61.85,2.84,
131,현대위아,"79,800","1,900",-2.33%,"5,000","21,702","27,195",9.36,"236,971",35.59,1.96,
132,BNK금융지주,"6,630",0,0.00%,"5,000","21,610","325,935",39.11,"645,310",4.16,6.11,
133,F&F,"140,000","4,000",+2.94%,500,"21,560","15,400",10.57,"134,601",25.13,16.59,
134,메리츠금융지주,"15,850",0,0.00%,500,"21,241","134,011",7.91,"129,647",4.42,16.06,
135,KODEX 200선물인버스2X,"2,005",0,0.00%,0,"21,181","1,056,400",2.98,"163,116,721",N/A,N/A,
136,현대백화점,"90,100","1,100",+1.24%,"5,000","21,086","23,402",17.01,"156,239",29.98,1.65,
137,현대해상,"23,500",100,-0.42%,500,"21,009","89,400",37.75,"168,769",6.33,7.13,
